+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+---------------------------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Incremental result hashing time |
| incoherent_impls ......................................................  | 1.60ms    | 0.001           | 3.94ms   | 319        | 13817      | 60.15µs                         |
| adt_drop_tys ..........................................................  | 1.59ms    | 0.001           | 12.16ms  | 766        | 15623      | 165.34µs                        |
| first_method_vtable_slot ..............................................  | 1.56ms    | 0.001           | 5.91ms   | 94         | 14         | 29.22µs                         |
| crate_hash ............................................................  | 1.56ms    | 0.001           | 2.49ms   | 232        | 280722     | 38.54µs                         |
| mir_pass_check_enums ..................................................  | 1.51ms    | 0.001           | 1.51ms   | 1509       | 0          | 0.00ns                          |
| hir_attr_map ..........................................................  | 1.49ms    | 0.001           | 1.84ms   | 5882       | 450366     | 833.57µs                        |
| check_type_wf .........................................................  | 1.49ms    | 0.001           | 2.32s    | 1          | 0          | 140.00ns                        |
| sanitizer_settings_for ................................................  | 1.49ms    | 0.001           | 2.55ms   | 4273       | 3038       | 508.27µs                        |
| adt_def ...............................................................  | 1.48ms    | 0.001           | 11.63ms  | 1696       | 35063      | 660.90µs                        |
| module_children .......................................................  | 1.48ms    | 0.001           | 5.54ms   | 301        | 0          | 1.39ms                          |
| needs_async_drop_raw ..................................................  | 1.44ms    | 0.001           | 2.02ms   | 1252       | 8578       | 171.68µs                        |
| mir_pass_erase_deref_temps ............................................  | 1.42ms    | 0.001           | 1.42ms   | 5458       | 0          | 0.00ns                          |
| explicit_item_bounds ..................................................  | 1.42ms    | 0.001           | 1.69ms   | 215        | 11786      | 208.03µs                        |
| lookup_stability ......................................................  | 1.38ms    | 0.001           | 1.89ms   | 4091       | 168271     | 756.74µs                        |
| used_trait_imports ....................................................  | 1.37ms    | 0.001           | 14.54ms  | 3899       | 0          | 708.84µs                        |
| dyn_compatibility_violations ..........................................  | 1.34ms    | 0.001           | 3.14ms   | 65         | 255        | 32.15µs                         |
| is_mir_available ......................................................  | 1.32ms    | 0.001           | 2.11ms   | 3434       | 158633     | 570.86µs                        |
| crate_incoherent_impls ................................................  | 1.30ms    | 0.001           | 1.87ms   | 2784       | 0          | 671.44µs                        |
| mir_pass_unreachable_enum_branching ...................................  | 1.27ms    | 0.001           | 5.90ms   | 1509       | 0          | 0.00ns                          |
| finalize_imports ......................................................  | 1.23ms    | 0.001           | 1.26ms   | 1          | 0          | 0.00ns                          |
| mir_pass_simplify_const_condition_after_inst_simplify .................  | 1.23ms    | 0.001           | 1.23ms   | 1509       | 0          | 0.00ns                          |
| inherited_align .......................................................  | 1.22ms    | 0.001           | 2.76ms   | 3039       | 0          | 400.84µs                        |
| associated_types_for_impl_traits_in_trait_or_impl .....................  | 1.21ms    | 0.001           | 1.66ms   | 1253       | 2031       | 220.22µs                        |
| debugger_visualizers ..................................................  | 1.20ms    | 0.001           | 1.26ms   | 217        | 55338      | 32.32µs                         |
| crate_variances .......................................................  | 1.18ms    | 0.001           | 9.25ms   | 1          | 91         | 21.54µs                         |
| metadata_decode_entry_inferred_outlives_of ............................  | 1.13ms    | 0.001           | 1.13ms   | 6623       | 0          | 0.00ns                          |
| coherent_trait ........................................................  | 1.13ms    | 0.001           | 81.76ms  | 236        | 6703       | 29.01µs                         |
| mir_pass_check_drop_recursion .........................................  | 1.10ms    | 0.001           | 1.10ms   | 5458       | 0          | 0.00ns                          |
| complete_gated_feature_checking .......................................  | 1.09ms    | 0.001           | 1.09ms   | 1          | 0          | 0.00ns                          |
| mir_pass_remove_place_mention .........................................  | 1.03ms    | 0.001           | 1.03ms   | 5458       | 0          | 0.00ns                          |
| explicit_item_self_bounds .............................................  | 1.03ms    | 0.001           | 1.67ms   | 232        | 146        | 175.18µs                        |
| mir_pass_match_branch_simplification ..................................  | 1.02ms    | 0.001           | 1.02ms   | 1509       | 0          | 0.00ns                          |
| late_bound_vars_map ...................................................  | 1.00ms    | 0.001           | 8.49ms   | 1866       | 3605       | 322.38µs                        |
| entry_fn ..............................................................  | 979.15µs  | 0.001           | 3.15ms   | 1          | 831987     | 410.00ns                        |
| mir_pass_remove_unneeded_drops ........................................  | 936.00µs  | 0.001           | 936.00µs | 1509       | 0          | 0.00ns                          |
| lints_that_dont_need_to_run ...........................................  | 911.20µs  | 0.001           | 8.80ms   | 1          | 21121      | 13.85µs                         |
| is_late_bound_map .....................................................  | 902.30µs  | 0.001           | 1.01ms   | 1543       | 5729       | 235.99µs                        |
| resolver_for_lowering_raw .............................................  | 897.78µs  | 0.001           | 242.35ms | 1          | 6          | 1.50µs                          |
| inhabited_predicate_adt ...............................................  | 880.82µs  | 0.001           | 6.28ms   | 725        | 2118       | 146.63µs                        |
| is_codegened_item .....................................................  | 875.64µs  | 0.001           | 1.04ms   | 1236       | 4989       | 204.03µs                        |
| metadata_decode_entry_cross_crate_inlinable ...........................  | 864.39µs  | 0.001           | 864.39µs | 6669       | 0          | 0.00ns                          |
| closure_typeinfo ......................................................  | 851.54µs  | 0.001           | 3.78ms   | 799        | 14038      | 423.86µs                        |
| mir_pass_simplify_const_condition_after_const_prop ....................  | 847.24µs  | 0.001           | 847.24µs | 1509       | 0          | 0.00ns                          |
| named_variable_map ....................................................  | 838.98µs  | 0.001           | 2.13ms   | 2048       | 3702       | 363.75µs                        |
| impl_self_is_guaranteed_unsized .......................................  | 816.54µs  | 0.001           | 1.57ms   | 1049       | 0          | 119.53µs                        |
| should_inherit_track_caller ...........................................  | 783.02µs  | 0.001           | 1.05ms   | 3039       | 0          | 341.05µs                        |
| check_unused_traits ...................................................  | 766.33µs  | 0.001           | 15.35ms  | 1          | 0          | 301.00ns                        |
| metadata_decode_entry_defaultness .....................................  | 765.35µs  | 0.001           | 765.35µs | 5062       | 0          | 0.00ns                          |
| mir_pass_check_force_inline ...........................................  | 765.13µs  | 0.001           | 765.13µs | 3734       | 0          | 0.00ns                          |
| resolutions ...........................................................  | 760.20µs  | 0.001           | 760.25µs | 1          | 783        | 755.45µs                        |
| mir_pass_ctfe_limit ...................................................  | 758.44µs  | 0.001           | 758.44µs | 1271       | 0          | 0.00ns                          |
| diagnostic_items ......................................................  | 735.02µs  | 0.001           | 818.19µs | 229        | 157198     | 218.33µs                        |
| fn_arg_idents .........................................................  | 724.23µs  | 0.001           | 772.38µs | 1232       | 0          | 376.96µs                        |
| monomorphization_collector_root_collections ...........................  | 711.10µs  | 0.001           | 6.59ms   | 1          | 0          | 0.00ns                          |
| own_existential_vtable_entries ........................................  | 707.39µs  | 0.001           | 1.77ms   | 40         | 20898      | 9.89µs                          |
| pre_AST_expansion_lint_checks .........................................  | 704.37µs  | 0.001           | 704.37µs | 24         | 0          | 0.00ns                          |
| mir_pass_sanity_check .................................................  | 692.23µs  | 0.000           | 692.23µs | 3734       | 0          | 0.00ns                          |
| asyncness .............................................................  | 675.09µs  | 0.000           | 832.75µs | 1588       | 1737       | 215.89µs                        |
| variances_of ..........................................................  | 653.22µs  | 0.000           | 10.44ms  | 592        | 83935      | 129.53µs                        |
| inferred_outlives_crate ...............................................  | 645.12µs  | 0.000           | 3.16ms   | 1          | 160        | 310.00ns                        |
| metadata_decode_entry_associated_item_def_ids .........................  | 638.75µs  | 0.000           | 638.75µs | 1962       | 0          | 0.00ns                          |
| collect_return_position_impl_trait_in_trait_tys .......................  | 625.65µs  | 0.000           | 1.27ms   | 17         | 17         | 8.41µs                          |
| item_self_bounds ......................................................  | 613.69µs  | 0.000           | 2.35ms   | 232        | 20220      | 102.23µs                        |
| adt_destructor ........................................................  | 609.43µs  | 0.000           | 1.02ms   | 1468       | 89973      | 236.70µs                        |
| metadata_decode_entry_explicit_item_self_bounds .......................  | 568.26µs  | 0.000           | 568.26µs | 88         | 0          | 0.00ns                          |
| exported_non_generic_symbols ..........................................  | 557.12µs  | 0.000           | 868.61µs | 217        | 316        | 360.70µs                        |
| specializes ...........................................................  | 553.82µs  | 0.000           | 1.26ms   | 156        | 379        | 22.23µs                         |
| crate_inherent_impls_overlap_check ....................................  | 543.06µs  | 0.000           | 907.79µs | 1          | 0          | 191.00ns                        |
| metadata_decode_entry_is_mir_available ................................  | 537.10µs  | 0.000           | 537.10µs | 3434       | 0          | 0.00ns                          |
| metadata_decode_entry_mir_coroutine_witnesses .........................  | 530.37µs  | 0.000           | 530.37µs | 74         | 0          | 0.00ns                          |
| mir_pass_simplify_const_condition_final ...............................  | 523.64µs  | 0.000           | 523.64µs | 1509       | 0          | 0.00ns                          |
| item_bounds ...........................................................  | 504.72µs  | 0.000           | 750.14µs | 207        | 2237       | 90.57µs                         |
| explicit_implied_predicates_of ........................................  | 484.66µs  | 0.000           | 1.07ms   | 348        | 55607      | 279.85µs                        |
| reachable_non_generics ................................................  | 476.30µs  | 0.000           | 6.20ms   | 99         | 9568       | 278.00µs                        |
| metadata_decode_entry_explicit_implied_predicates_of ..................  | 470.58µs  | 0.000           | 470.58µs | 305        | 0          | 0.00ns                          |
| enforce_impl_non_lifetime_params_are_constrained ......................  | 460.48µs  | 0.000           | 559.43µs | 1179       | 1763       | 139.38µs                        |
| expn_that_defined .....................................................  | 456.93µs  | 0.000           | 705.41µs | 669        | 36835      | 187.57µs                        |
| metadata_decode_entry_intrinsic_raw ...................................  | 447.62µs  | 0.000           | 447.62µs | 3721       | 0          | 0.00ns                          |
| upstream_monomorphizations ............................................  | 441.30µs  | 0.000           | 3.06ms   | 1          | 4000       | 181.29µs                        |
| link_binary_check_files_are_writeable .................................  | 431.07µs  | 0.000           | 431.07µs | 1          | 0          | 0.00ns                          |
| type_of_opaque ........................................................  | 428.88µs  | 0.000           | 1.89s    | 204        | 1874       | 183.70µs                        |
| orphan_check_impl .....................................................  | 418.71µs  | 0.000           | 528.28µs | 1049       | 0          | 123.40µs                        |
| metadata_decode_entry_trivial_const ...................................  | 395.67µs  | 0.000           | 395.67µs | 1782       | 0          | 0.00ns                          |
| generics_require_sized_self ...........................................  | 359.40µs  | 0.000           | 1.08ms   | 306        | 3394       | 40.13µs                         |
| representability ......................................................  | 358.63µs  | 0.000           | 1.23ms   | 651        | 390        | 0.00ns                          |
| metadata_decode_entry_def_ident_span ..................................  | 353.83µs  | 0.000           | 353.83µs | 889        | 0          | 0.00ns                          |
| cgu_partitioning_merge_cgus ...........................................  | 351.64µs  | 0.000           | 351.64µs | 1          | 0          | 0.00ns                          |
| compute_effective_visibilities ........................................  | 347.44µs  | 0.000           | 347.44µs | 1          | 0          | 0.00ns                          |
| required_panic_strategy ...............................................  | 346.18µs  | 0.000           | 428.91µs | 217        | 216        | 28.19µs                         |
| mir_pass_simplify_comparison_integral .................................  | 342.01µs  | 0.000           | 342.01µs | 1509       | 0          | 0.00ns                          |
| metadata_decode_entry_constness .......................................  | 338.25µs  | 0.000           | 338.25µs | 1768       | 0          | 0.00ns                          |
| target_machine_factory ................................................  | 327.79µs  | 0.000           | 327.79µs | 516        | 0          | 0.00ns                          |
| metadata_decode_entry_visibility ......................................  | 320.44µs  | 0.000           | 320.44µs | 1259       | 0          | 0.00ns                          |
| link_crate ............................................................  | 314.04µs  | 0.000           | 1.83s    | 1          | 0          | 0.00ns                          |
| explicit_super_predicates_of ..........................................  | 302.28µs  | 0.000           | 577.93µs | 113        | 41974      | 99.69µs                         |
| metadata_decode_entry_exported_non_generic_symbols ....................  | 301.19µs  | 0.000           | 301.19µs | 216        | 0          | 0.00ns                          |
| exported_generic_symbols ..............................................  | 294.32µs  | 0.000           | 2.61ms   | 232        | 434        | 247.63µs                        |
| metadata_decode_entry_lookup_stability ................................  | 288.48µs  | 0.000           | 288.48µs | 976        | 0          | 0.00ns                          |
| eval_to_valtree .......................................................  | 286.46µs  | 0.000           | 29.10ms  | 124        | 1423       | 32.37µs                         |
| metadata_decode_entry_adt_destructor ..................................  | 285.83µs  | 0.000           | 285.83µs | 1307       | 0          | 0.00ns                          |
| trait_def .............................................................  | 285.71µs  | 0.000           | 541.70µs | 341        | 1342844    | 82.57µs                         |
| crate_name ............................................................  | 263.70µs  | 0.000           | 387.13µs | 231        | 1554240    | 66.27µs                         |
| local_trait_impls .....................................................  | 262.70µs  | 0.000           | 289.78µs | 458        | 327        | 109.69µs                        |
| ty_span ...............................................................  | 260.43µs  | 0.000           | 289.57µs | 726        | 458        | 128.13µs                        |
| metadata_decode_entry_reachable_non_generics ..........................  | 257.52µs  | 0.000           | 761.15µs | 98         | 0          | 0.00ns                          |
| mir_pass_lower_slice_len_calls ........................................  | 246.92µs  | 0.000           | 246.92µs | 1509       | 0          | 0.00ns                          |
| inherent_impls ........................................................  | 233.98µs  | 0.000           | 371.76µs | 398        | 11257      | 106.59µs                        |
| const_conditions ......................................................  | 230.74µs  | 0.000           | 410.11µs | 352        | 2012       | 111.73µs                        |
| mir_pass_early_otherwise_branch .......................................  | 230.26µs  | 0.000           | 230.26µs | 1509       | 0          | 0.00ns                          |
| metadata_decode_entry_explicit_item_bounds ............................  | 222.58µs  | 0.000           | 222.58µs | 71         | 0          | 0.00ns                          |
| fn_abi_of_fn_ptr ......................................................  | 221.23µs  | 0.000           | 262.50µs | 117        | 741        | 60.94µs                         |
| proc_macro_decls_static ...............................................  | 218.24µs  | 0.000           | 220.80µs | 1          | 2244       | 682.00ns                        |
| dependency_formats ....................................................  | 217.15µs  | 0.000           | 1.23ms   | 1          | 4          | 1.07µs                          |
| reveal_opaque_types_in_bounds .........................................  | 215.50µs  | 0.000           | 233.08µs | 279        | 7603       | 58.04µs                         |
| metadata_decode_entry_expn_that_defined ...............................  | 209.38µs  | 0.000           | 209.38µs | 353        | 0          | 0.00ns                          |
| metadata_decode_entry_lookup_deprecation_entry ........................  | 207.59µs  | 0.000           | 207.59µs | 1397       | 0          | 0.00ns                          |
| trait_explicit_predicates_and_bounds ..................................  | 207.24µs  | 0.000           | 280.76µs | 43         | 0          | 25.78µs                         |
| metadata_decode_entry_trait_def .......................................  | 197.42µs  | 0.000           | 197.42µs | 298        | 0          | 0.00ns                          |
| unsizing_params_for_adt ...............................................  | 195.80µs  | 0.000           | 349.90µs | 115        | 3801       | 32.34µs                         |
| serialize_work_products ...............................................  | 188.24µs  | 0.000           | 188.24µs | 1          | 0          | 0.00ns                          |
| lint_reexports ........................................................  | 182.97µs  | 0.000           | 182.97µs | 1          | 0          | 0.00ns                          |
| write_dep_info ........................................................  | 179.49µs  | 0.000           | 1.24ms   | 1          | 0          | 0.00ns                          |
| type_of_opaque_hir_typeck .............................................  | 172.69µs  | 0.000           | 190.42µs | 144        | 144        | 55.89µs                         |
| crate_inherent_impls ..................................................  | 165.63µs  | 0.000           | 168.45µs | 1          | 216        | 4.26µs                          |
| metadata_decode_entry_const_conditions ................................  | 162.45µs  | 0.000           | 162.45µs | 304        | 0          | 0.00ns                          |
| write_allocator_module ................................................  | 159.28µs  | 0.000           | 216.98µs | 1          | 0          | 0.00ns                          |
| is_doc_hidden .........................................................  | 153.98µs  | 0.000           | 193.10µs | 393        | 5516       | 52.86µs                         |
| metadata_decode_entry_coroutine_kind ..................................  | 152.10µs  | 0.000           | 152.10µs | 752        | 0          | 0.00ns                          |
| check_validity_requirement ............................................  | 151.09µs  | 0.000           | 215.72µs | 337        | 287        | 71.94µs                         |
| lint_expectations .....................................................  | 147.72µs  | 0.000           | 151.51µs | 1          | 0          | 320.00ns                        |
| metadata_decode_entry_crate_incoherent_impls ..........................  | 147.19µs  | 0.000           | 147.19µs | 2772       | 0          | 0.00ns                          |
| all_diagnostic_items ..................................................  | 144.72µs  | 0.000           | 534.70µs | 1          | 45         | 44.28µs                         |
| is_private_dep ........................................................  | 144.17µs  | 0.000           | 174.00µs | 232        | 13859      | 26.74µs                         |
| representability_adt_ty ...............................................  | 139.65µs  | 0.000           | 356.84µs | 208        | 96         | 0.00ns                          |
| metadata_decode_entry_explicit_super_predicates_of ....................  | 139.65µs  | 0.000           | 139.65µs | 70         | 0          | 0.00ns                          |
| valtree_to_const_val ..................................................  | 137.18µs  | 0.000           | 143.77µs | 97         | 4432       | 25.16µs                         |
| used_crate_source .....................................................  | 132.94µs  | 0.000           | 167.92µs | 231        | 59352      | 94.72µs                         |
| dep_kind ..............................................................  | 128.67µs  | 0.000           | 194.49µs | 231        | 462        | 25.86µs                         |
| foreign_modules .......................................................  | 126.43µs  | 0.000           | 129.09µs | 1          | 0          | 391.00ns                        |
| incr_comp_prepare_session_directory ...................................  | 119.75µs  | 0.000           | 119.75µs | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_inherent_impls ..................................  | 118.29µs  | 0.000           | 118.29µs | 194        | 0          | 0.00ns                          |
| metadata_decode_entry_variances_of ....................................  | 116.28µs  | 0.000           | 116.28µs | 210        | 0          | 0.00ns                          |
| lit_to_const ..........................................................  | 116.11µs  | 0.000           | 120.13µs | 92         | 121        | 18.44µs                         |
| adt_async_destructor ..................................................  | 110.40µs  | 0.000           | 149.96µs | 198        | 1109       | 32.60µs                         |
| anon_const_kind .......................................................  | 105.84µs  | 0.000           | 160.97µs | 181        | 1315       | 23.61µs                         |
| opaque_ty_origin ......................................................  | 102.32µs  | 0.000           | 109.10µs | 144        | 432        | 48.23µs                         |
| native_libraries ......................................................  | 99.13µs   | 0.000           | 283.07µs | 232        | 0          | 41.89µs                         |
| emit_ast_lowering_delayed_lints .......................................  | 97.90µs   | 0.000           | 113.10µs | 1          | 0          | 0.00ns                          |
| is_dyn_compatible .....................................................  | 89.86µs   | 0.000           | 3.24ms   | 65         | 2930       | 8.03µs                          |
| opaque_captured_lifetimes .............................................  | 82.40µs   | 0.000           | 139.98µs | 144        | 478        | 27.21µs                         |
| defined_lang_items ....................................................  | 77.36µs   | 0.000           | 212.60µs | 231        | 0          | 38.92µs                         |
| postorder_cnums .......................................................  | 77.23µs   | 0.000           | 77.30µs  | 1          | 0          | 6.35µs                          |
| <unknown> .............................................................  | 76.42µs   | 0.000           | 0.00ns   | 0          | 0          | 76.42µs                         |
| incr_comp_persist_result_cache ........................................  | 74.56µs   | 0.000           | 119.07ms | 1          | 0          | 0.00ns                          |
| missing_lang_items ....................................................  | 70.74µs   | 0.000           | 112.02µs | 231        | 216        | 31.52µs                         |
| metadata_decode_entry_diagnostic_items ................................  | 69.70µs   | 0.000           | 69.70µs  | 228        | 0          | 0.00ns                          |
| incr_comp_encode_dep_graph_finish .....................................  | 66.95µs   | 0.000           | 66.95µs  | 1          | 0          | 0.00ns                          |
| is_profiler_runtime ...................................................  | 63.19µs   | 0.000           | 82.53µs  | 231        | 0          | 25.82µs                         |
| mir_pass_pre_codegen ..................................................  | 62.95µs   | 0.000           | 62.95µs  | 1509       | 0          | 0.00ns                          |
| is_unreachable_local_definition .......................................  | 62.61µs   | 0.000           | 69.06µs  | 136        | 343        | 25.17µs                         |
| is_panic_runtime ......................................................  | 62.37µs   | 0.000           | 81.95µs  | 232        | 218        | 25.33µs                         |
| symbol_mangling_version ...............................................  | 62.18µs   | 0.000           | 87.93µs  | 96         | 3297       | 14.76µs                         |
| write_crate_metadata ..................................................  | 61.30µs   | 0.000           | 61.30µs  | 1          | 0          | 0.00ns                          |
| is_no_builtins ........................................................  | 60.98µs   | 0.000           | 80.64µs  | 231        | 0          | 25.03µs                         |
| metadata_decode_entry_eval_static_initializer .........................  | 60.91µs   | 0.000           | 60.91µs  | 26         | 0          | 0.00ns                          |
| metadata_decode_entry_crate_name ......................................  | 60.89µs   | 0.000           | 119.80µs | 231        | 0          | 0.00ns                          |
| is_compiler_builtins ..................................................  | 59.03µs   | 0.000           | 77.33µs  | 217        | 516862     | 23.89µs                         |
| metadata_decode_entry_defined_lang_items ..............................  | 59.03µs   | 0.000           | 127.02µs | 231        | 0          | 0.00ns                          |
| misc_checking_1 .......................................................  | 58.76µs   | 0.000           | 30.18ms  | 1          | 0          | 0.00ns                          |
| params_in_repr ........................................................  | 57.50µs   | 0.000           | 121.60µs | 96         | 604        | 8.45µs                          |
| stable_order_of_exportable_impls ......................................  | 57.30µs   | 0.000           | 80.04µs  | 93         | 91969      | 19.59µs                         |
| panic_in_drop_strategy ................................................  | 56.30µs   | 0.000           | 74.45µs  | 214        | 0          | 23.31µs                         |
| exportable_items ......................................................  | 54.39µs   | 0.000           | 83.10µs  | 99         | 100484     | 20.41µs                         |
| object_lifetime_default ...............................................  | 52.62µs   | 0.000           | 97.74µs  | 96         | 1938       | 14.76µs                         |
| lto_generate_symbols_below_threshold ..................................  | 51.65µs   | 0.000           | 51.65µs  | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_debugger_visualizers ............................  | 49.03µs   | 0.000           | 49.03µs  | 216        | 0          | 0.00ns                          |
| metadata_decode_entry_anon_const_kind .................................  | 47.07µs   | 0.000           | 47.07µs  | 34         | 0          | 0.00ns                          |
| metadata_decode_entry_native_libraries ................................  | 46.29µs   | 0.000           | 46.29µs  | 231        | 0          | 0.00ns                          |
| incr_comp_finalize_session_directory ..................................  | 45.16µs   | 0.000           | 45.16µs  | 1          | 0          | 0.00ns                          |
| lookup_const_stability ................................................  | 43.52µs   | 0.000           | 84.65µs  | 51         | 1961       | 10.73µs                         |
| type_param_predicates .................................................  | 43.31µs   | 0.000           | 156.33µs | 19         | 0          | 4.18µs                          |
| type_alias_is_lazy ....................................................  | 42.58µs   | 0.000           | 48.52µs  | 74         | 1061       | 8.97µs                          |
| incr_comp_persist_dep_graph ...........................................  | 42.56µs   | 0.000           | 42.56µs  | 1          | 0          | 0.00ns                          |
| incr_comp_prepare_load_dep_graph ......................................  | 41.82µs   | 0.000           | 45.84µs  | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_object_lifetime_default .........................  | 41.32µs   | 0.000           | 41.32µs  | 66         | 0          | 0.00ns                          |
| used_crates ...........................................................  | 40.15µs   | 0.000           | 40.31µs  | 1          | 0          | 31.83µs                         |
| codegen_thin_generate_lto_work ........................................  | 38.71µs   | 0.000           | 134.54ms | 1          | 0          | 0.00ns                          |
| unused_lib_feature_checking ...........................................  | 37.98µs   | 0.000           | 44.26µs  | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_missing_lang_items ..............................  | 32.94µs   | 0.000           | 32.94µs  | 231        | 0          | 0.00ns                          |
| metadata_decode_entry_lookup_const_stability ..........................  | 32.57µs   | 0.000           | 32.57µs  | 39         | 0          | 0.00ns                          |
| metadata_decode_entry_params_in_repr ..................................  | 31.36µs   | 0.000           | 31.36µs  | 28         | 0          | 0.00ns                          |
| encode_query_results ..................................................  | 30.22µs   | 0.000           | 104.47ms | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_adt_async_destructor ............................  | 28.18µs   | 0.000           | 28.18µs  | 138        | 0          | 0.00ns                          |
| metadata_decode_entry_associated_types_for_impl_traits_in_trait_or_impl  | 27.90µs   | 0.000           | 27.90µs  | 31         | 0          | 0.00ns                          |
| metadata_decode_entry_used_crate_source ...............................  | 26.62µs   | 0.000           | 26.62µs  | 231        | 0          | 0.00ns                          |
| metadata_decode_entry_crate_hash ......................................  | 25.56µs   | 0.000           | 25.56µs  | 231        | 0          | 0.00ns                          |
| metadata_decode_entry_exportable_items ................................  | 23.74µs   | 0.000           | 23.74µs  | 98         | 0          | 0.00ns                          |
| explicit_implied_const_bounds .........................................  | 23.19µs   | 0.000           | 41.79µs  | 27         | 67         | 7.10µs                          |
| all_local_trait_impls .................................................  | 23.19µs   | 0.000           | 23.26µs  | 1          | 0          | 22.76µs                         |
| metadata_decode_entry_is_doc_hidden ...................................  | 22.18µs   | 0.000           | 22.18µs  | 199        | 0          | 0.00ns                          |
| metadata_decode_entry_is_private_dep ..................................  | 21.39µs   | 0.000           | 21.39µs  | 231        | 0          | 0.00ns                          |
| incr_comp_garbage_collect_session_directories .........................  | 20.40µs   | 0.000           | 20.40µs  | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_symbol_mangling_version .........................  | 19.21µs   | 0.000           | 19.21µs  | 96         | 0          | 0.00ns                          |
| assumed_wf_types_for_rpitit ...........................................  | 19.19µs   | 0.000           | 28.64µs  | 13         | 4          | 13.24µs                         |
| metadata_decode_entry_dep_kind ........................................  | 18.98µs   | 0.000           | 18.98µs  | 231        | 0          | 0.00ns                          |
| find_cgu_reuse ........................................................  | 18.46µs   | 0.000           | 18.46µs  | 1          | 0          | 0.00ns                          |
| is_promotable_const_fn ................................................  | 17.83µs   | 0.000           | 50.84µs  | 18         | 417        | 2.81µs                          |
| metadata_decode_entry_stable_order_of_exportable_impls ................  | 17.42µs   | 0.000           | 17.42µs  | 92         | 0          | 0.00ns                          |
| metadata_decode_entry_explicit_implied_const_bounds ...................  | 17.26µs   | 0.000           | 17.26µs  | 27         | 0          | 0.00ns                          |
| misc_checking_3 .......................................................  | 16.98µs   | 0.000           | 97.21ms  | 1          | 0          | 0.00ns                          |
| registered_tools ......................................................  | 15.97µs   | 0.000           | 20.20µs  | 1          | 10827      | 4.00µs                          |
| rust_target_features ..................................................  | 15.03µs   | 0.000           | 15.20µs  | 1          | 3038       | 6.23µs                          |
| metadata_decode_entry_asyncness .......................................  | 14.54µs   | 0.000           | 14.54µs  | 152        | 0          | 0.00ns                          |
| crate_injection .......................................................  | 14.32µs   | 0.000           | 14.32µs  | 1          | 0          | 0.00ns                          |
| opt_ast_lowering_delayed_lints ........................................  | 14.05µs   | 0.000           | 15.20µs  | 25         | 0          | 6.70µs                          |
| explicit_supertraits_containing_assoc_item ............................  | 13.48µs   | 0.000           | 17.95µs  | 29         | 48         | 8.84µs                          |
| metadata_decode_entry_is_panic_runtime ................................  | 11.44µs   | 0.000           | 11.44µs  | 231        | 0          | 0.00ns                          |
| metadata_decode_entry_is_no_builtins ..................................  | 11.35µs   | 0.000           | 11.35µs  | 231        | 0          | 0.00ns                          |
| metadata_decode_entry_is_profiler_runtime .............................  | 11.12µs   | 0.000           | 11.12µs  | 231        | 0          | 0.00ns                          |
| metadata_decode_entry_required_panic_strategy .........................  | 10.89µs   | 0.000           | 10.89µs  | 216        | 0          | 0.00ns                          |
| metadata_decode_entry_panic_in_drop_strategy ..........................  | 10.54µs   | 0.000           | 10.54µs  | 214        | 0          | 0.00ns                          |
| specialization_enabled_in .............................................  | 10.37µs   | 0.000           | 12.20µs  | 10         | 146        | 1.74µs                          |
| metadata_decode_entry_is_compiler_builtins ............................  | 10.31µs   | 0.000           | 10.31µs  | 216        | 0          | 0.00ns                          |
| coherence_checking ....................................................  | 10.25µs   | 0.000           | 2.32s    | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_coerce_unsized_info .............................  | 10.03µs   | 0.000           | 10.03µs  | 3          | 0          | 0.00ns                          |
| privacy_checking_modules ..............................................  | 9.44µs    | 0.000           | 35.71ms  | 1          | 0          | 0.00ns                          |
| module_lints ..........................................................  | 9.09µs    | 0.000           | 34.16ms  | 1          | 0          | 0.00ns                          |
| crates ................................................................  | 9.04µs    | 0.000           | 9.12µs   | 1          | 559        | 7.44µs                          |
| metadata_decode_entry_assumed_wf_types_for_rpitit .....................  | 8.88µs    | 0.000           | 8.88µs   | 13         | 0          | 0.00ns                          |
| const_param_default ...................................................  | 8.50µs    | 0.000           | 12.46µs  | 4          | 425        | 6.04µs                          |
| incr_comp_load_query_result_cache .....................................  | 7.96µs    | 0.000           | 7.96µs   | 1          | 0          | 0.00ns                          |
| partition_and_assert_distinct_symbols .................................  | 7.57µs    | 0.000           | 351.17ms | 1          | 0          | 0.00ns                          |
| serialize_dep_graph ...................................................  | 7.18µs    | 0.000           | 119.12ms | 1          | 0          | 0.00ns                          |
| lookup_default_body_stability .........................................  | 6.69µs    | 0.000           | 8.42µs   | 15         | 503        | 2.86µs                          |
| macro_expand_crate ....................................................  | 6.04µs    | 0.000           | 183.97ms | 1          | 0          | 0.00ns                          |
| analysis ..............................................................  | 5.15µs    | 0.000           | 4.45s    | 1          | 0          | 190.00ns                        |
