+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+---------------------------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Incremental result hashing time |
| assert_symbols_are_distinct ...........................................  | 29.06ms   | 0.021           | 230.45ms | 1          | 0          | 0.00ns                          |
| eval_to_const_value_raw ...............................................  | 28.51ms   | 0.021           | 1.15s    | 17187      | 158018     | 9.43ms                          |
| needs_drop_raw ........................................................  | 28.28ms   | 0.020           | 177.93ms | 24591      | 99863      | 3.64ms                          |
| is_copy_raw ...........................................................  | 27.84ms   | 0.020           | 140.27ms | 24150      | 6271       | 3.18ms                          |
| target_machine_factory_inner ..........................................  | 25.92ms   | 0.019           | 25.92ms  | 771        | 0          | 0.00ns                          |
| mir_pass_reference_propagation ........................................  | 25.59ms   | 0.018           | 39.59ms  | 1509       | 0          | 0.00ns                          |
| lint_mod ..............................................................  | 25.57ms   | 0.018           | 34.15ms  | 26         | 0          | 4.04µs                          |
| trait_impls_of ........................................................  | 25.07ms   | 0.018           | 63.42ms  | 328        | 191926     | 889.13µs                        |
| metadata_decode_entry_impl_trait_header ...............................  | 25.00ms   | 0.018           | 25.00ms  | 38168      | 0          | 0.00ns                          |
| implementations_of_trait ..............................................  | 24.67ms   | 0.018           | 36.80ms  | 65835      | 0          | 11.74ms                         |
| dropck_outlives .......................................................  | 24.15ms   | 0.017           | 73.81ms  | 4582       | 7169       | 1.36ms                          |
| check_liveness ........................................................  | 23.40ms   | 0.017           | 64.22ms  | 3734       | 5075       | 652.37µs                        |
| check_unsafety ........................................................  | 22.74ms   | 0.016           | 171.82ms | 2766       | 0          | 492.56µs                        |
| type_op_ascribe_user_type .............................................  | 22.29ms   | 0.016           | 24.49ms  | 2156       | 3254       | 1.02ms                          |
| metadata_register_crate ...............................................  | 21.19ms   | 0.015           | 56.06ms  | 231        | 0          | 0.00ns                          |
| check_match ...........................................................  | 20.82ms   | 0.015           | 712.12ms | 3899       | 0          | 572.42µs                        |
| eval_static_initializer ...............................................  | 20.55ms   | 0.015           | 169.54ms | 484        | 8397       | 328.06µs                        |
| impl_trait_header .....................................................  | 20.37ms   | 0.015           | 47.99ms  | 39217      | 1515226    | 11.31ms                         |
| size_estimate .........................................................  | 20.25ms   | 0.015           | 22.82ms  | 41984      | 30751      | 5.74ms                          |
| mir_pass_g_v_n ........................................................  | 18.52ms   | 0.013           | 23.31ms  | 1509       | 0          | 0.00ns                          |
| param_env .............................................................  | 17.79ms   | 0.013           | 44.96ms  | 11362      | 82694      | 2.77ms                          |
| generics_of ...........................................................  | 17.61ms   | 0.013           | 27.60ms  | 20785      | 5019705    | 6.80ms                          |
| def_span ..............................................................  | 17.42ms   | 0.013           | 24.55ms  | 18541      | 481302     | 10.91ms                         |
| codegen_crate .........................................................  | 17.26ms   | 0.012           | 9.77s    | 1          | 0          | 0.00ns                          |
| mir_pass_abort_unwinding_calls ........................................  | 17.13ms   | 0.012           | 17.14ms  | 13129      | 0          | 0.00ns                          |
| mir_promoted ..........................................................  | 16.38ms   | 0.012           | 906.78ms | 3734       | 9968       | 507.00µs                        |
| type_op_normalize_clause ..............................................  | 16.13ms   | 0.012           | 22.03ms  | 2125       | 751        | 659.96µs                        |
| region_scope_tree .....................................................  | 15.82ms   | 0.011           | 25.00ms  | 3899       | 1133       | 6.48ms                          |
| type_of ...............................................................  | 15.70ms   | 0.011           | 1.83s    | 21936      | 4093730    | 4.41ms                          |
| mir_pass_known_panics_lint ............................................  | 15.54ms   | 0.011           | 471.09ms | 5458       | 0          | 0.00ns                          |
| vtable_entries ........................................................  | 15.13ms   | 0.011           | 218.99ms | 999        | 3594       | 315.75µs                        |
| LLVM_thin_lto_internalize .............................................  | 14.90ms   | 0.011           | 14.90ms  | 256        | 0          | 0.00ns                          |
